"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","818","0","Pseudo","50","experimental","0","1","Pseudo","3","0","0","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","32","1700","1850","1600","1550","0","1600","1550","439","1111","1101","1110","1111","legacy","xpyriment","1110","1111","n","818","0","20","50","50","50","50","50","50","50","syndeem","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","162068","160779","160778","1561","161220","1563","98951","115579","NA","NA","NA","NA","NA","112479","162039","161220","NA","160778","LexicalDecision"
"No","677","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","33","1700","1850","1600","1500","0","1500","1550","497","1111","1101","1110","1111","legacy","xpyriment","1111","1111","m","677","0","20","50","50","50","50","50","50","50","keotj","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","162068","164205","164204","1561","164704","1563","98951","115579","NA","NA","NA","NA","NA","112479","165382","164704","NA","164204","LexicalDecision"
"No","430","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","34","1700","1850","1600","1450","0","1450","1500","523","1111","1101","1110","1111","legacy","xpyriment","1111","1111","m","430","0","20","50","50","50","50","50","50","50","mrkneom","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","162068","165501","165500","1561","166028","1563","98951","115579","NA","NA","NA","NA","NA","112479","166459","166027","NA","165500","LexicalDecision"
"No","673","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","35","1700","1850","1550","1450","0","1550","1600","547","1111","1101","1101","1111","legacy","xpyriment","1101","1110","m","673","0","20","50","50","50","50","50","50","50","verlelt","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","162068","166575","166574","1561","167125","1563","98951","115579","NA","NA","NA","NA","NA","112479","167799","167125","NA","166574","LexicalDecision"
"No","477","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","36","1700","1850","1500","1450","0","1500","1550","425","1111","1101","1011","1111","legacy","xpyriment","1011","1101","m","477","0","20","50","50","50","50","50","50","50","gegt","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","162068","167917","167916","1561","168345","1563","98951","115579","NA","NA","NA","NA","NA","112479","168823","168345","NA","167916","LexicalDecision"
"No","555","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","37","1700","1800","1500","1450","0","1800","1850","431","1111","1011","1011","1111","legacy","xpyriment","1011","1101","n","555","0","20","50","50","50","50","50","50","50","zwaantje","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","162068","168940","168939","1561","169373","1563","98951","115579","NA","NA","NA","NA","NA","112479","169928","169373","NA","168939","LexicalDecision"
"No","533","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","38","1700","1750","1500","1450","0","1750","1800","466","1111","111","1011","1111","legacy","xpyriment","0111","1011","n","533","0","20","50","50","50","50","50","50","50","slipjes","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","162068","170046","170045","1561","170515","1563","98951","115579","NA","NA","NA","NA","NA","112479","171049","170514","NA","170045","LexicalDecision"
"No","861","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","39","1700","1750","1450","1450","0","1450","1500","429","1111","111","111","1111","legacy","xpyriment","0111","1011","m","861","0","20","50","50","50","50","50","50","50","eitel","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","162068","171169","171168","1561","171601","1563","98951","115579","NA","NA","NA","NA","NA","112479","172463","171600","NA","171167","LexicalDecision"
"No","448","0","HF","50","experimental","0","1","HF","1","0","0","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","40","1750","1750","1450","1450","0","1750","1700","578","1110","111","111","1111","legacy","xpyriment","1110","1111","m","448","0","20","50","50","50","50","50","50","50","kleur","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","173640","172580","172579","1561","173162","1563","98951","115579","NA","NA","NA","NA","NA","112479","173611","173162","NA","172579","LexicalDecision"
"No","749","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","41","1750","1750","1400","1450","0","1400","1450","554","1110","111","1111","1111","legacy","xpyriment","1111","111","m","749","0","20","50","50","50","50","50","50","50","plaar","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","173640","175781","175780","1561","176338","1563","98951","115579","NA","NA","NA","NA","NA","112479","177087","176337","NA","175780","LexicalDecision"
"No","563","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","42","1750","1750","1400","1400","0","1400","1450","415","1110","111","1111","1111","legacy","xpyriment","1111","1111","m","563","0","20","50","50","50","50","50","50","50","earrspt","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","173640","177206","177205","1561","177623","1563","98951","115579","NA","NA","NA","NA","NA","112479","178187","177623","NA","177204","LexicalDecision"
"No","494","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","43","1750","1750","1400","1350","0","1350","1400","507","1110","111","1111","1111","legacy","xpyriment","1111","1111","m","494","0","20","50","50","50","50","50","50","50","robtu","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","173640","178304","178303","1561","178815","1563","98951","115579","NA","NA","NA","NA","NA","112479","179310","178814","NA","178303","LexicalDecision"
"No","514","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","44","1750","1750","1400","1300","0","1300","1350","507","1110","111","1111","1111","legacy","xpyriment","1111","1111","m","514","0","20","50","50","50","50","50","50","50","ilwotfo","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","173640","179427","179426","1561","179938","1563","98951","115579","NA","NA","NA","NA","NA","112479","180452","179937","NA","179426","LexicalDecision"
"No","485","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","45","1700","1750","1400","1300","0","1700","1750","592","1101","111","1111","1111","legacy","xpyriment","1101","1110","n","485","0","20","50","50","50","50","50","50","50","vogel","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","173640","180570","180569","1561","181165","1563","98951","115579","NA","NA","NA","NA","NA","112479","181651","181165","NA","180569","LexicalDecision"
